Date,Open,High,Low,Close
2019-05-03,12211.86,12246.42,12173.06,12186.47
2019-05-06,12112.72,12112.72,12047.92,12070.2
2019-05-07,12134.12,12139.86,11958.29,11969.53
2019-05-08,11959.7,11960.87,11810.54,11822.16
2019-05-09,11813.22,11824.43,11714.97,11764.03
2019-05-10,11787.74,11813.8,11711.7,11739.11
2019-05-13,11743.01,11766.24,11579.84,11607.9
2019-05-14,11619.74,11754.7,11567,11679.61
2019-05-15,11741.34,11751.84,11595.89,11614.7
2019-05-16,11632.45,11753.06,11603.03,11715.98
2019-05-17,11743.63,11894.07,11719.79,11876.15
2019-05-20,12114.85,12327.74,12069.53,12309.84
2019-05-21,12345.44,12372.01,12157.24,12183.78
2019-05-22,12219.11,12262.43,12159.73,12216.3
2019-05-23,12374.36,12531.05,12087.37,12134.84
2019-05-24,12216.25,12336.18,12133.8,12323.52
2019-05-27,12351.43,12445.08,12294.42,12405.4
2019-05-28,12436.58,12450.09,12359.85,12428.98
2019-05-29,12425.06,12425.33,12325.32,12348.48
2019-05-30,12374.53,12461.88,12351,12441.19
2019-05-31,12490.45,12535.01,12319.14,12416.37
2019-06-03,12445.91,12600.07,12420.48,12588.83
2019-06-04,12573.38,12603.09,12508.98,12523.62
2019-06-06,12534.34,12539.65,12329.87,12343.96
2019-06-07,12358.92,12390.63,12262.54,12363.99
2019-06-10,12417.17,12475.63,12369.59,12419.98
2019-06-11,12450.92,12496.37,12402.85,12461.09
2019-06-12,12470.89,12472.6,12362.76,12400.62
2019-06-13,12380.01,12424.83,12314.07,12407.33
2019-06-14,12424.35,12424.65,12287.29,12312.88
2019-06-17,12330.59,12337.96,12142.03,12157
2019-06-18,12181.44,12216.81,12130.82,12184.69
2019-06-19,12226.01,12296.36,12116.97,12189.94
2019-06-20,12167.05,12349.7,12129.43,12338.89
2019-06-21,12338.98,12341.01,12204.02,12226.96
2019-06-24,12219.52,12256.99,12170.84,12199.39
2019-06-25,12203.73,12315.66,12144.16,12298.76
2019-06-26,12279.35,12375.73,12262.14,12349.84
2019-06-27,12362.3,12417.74,12325.03,12348.88
2019-06-28,12363.01,12375.18,12281.5,12293.47
2019-07-01,12337.57,12396.26,12336.85,12373.44
2019-07-02,12409.47,12423.57,12320.53,12417.47
2019-07-03,12446.86,12454.34,12396.53,12424.7
2019-07-04,12451.12,12470.41,12430.77,12447.84
2019-07-05,12474.72,12486.45,12298.21,12312.85
2019-07-08,12299.65,12299.65,12015.72,12048.63
2019-07-09,12054.4,12074.48,11950.7,12045.14
2019-07-10,12039.18,12086.28,11964.43,11982.98
2019-07-11,12040.57,12088.73,12007.86,12071.55
2019-07-12,12105.9,12132.62,12030.06,12044.47
2019-07-15,12122.91,12125.98,12020.88,12079.22
2019-07-16,12097.86,12167.9,12061.87,12160.13
2019-07-17,12172.64,12202.74,12145.51,12183.05
2019-07-18,12178.85,12178.85,12075.94,12086.41
2019-07-19,12135.24,12135.24,11887.08,11907.1
2019-07-22,11904.1,11904.1,11778.65,11824.19
2019-07-23,11855.53,11879.82,11783.57,11807.51
2019-07-24,11812.74,11837.87,11705.15,11747.34
2019-07-25,11772.47,11844.23,11721.94,11736.84
2019-07-26,11734.87,11791.16,11691.55,11768.38
2019-07-29,11808.77,11808.77,11633.5,11673.83
2019-07-30,11690.66,11755.54,11555.3,11567.76
2019-07-31,11530.45,11630.04,11481.77,11602.65
2019-08-01,11578.41,11578.41,11359.21,11460.2
2019-08-02,11431.18,11565.48,11326.08,11481.43
2019-08-05,11404.83,11404.83,11265.84,11349.45
2019-08-06,11306.41,11512.69,11297.62,11437.65
2019-08-07,11448.48,11470.53,11325.02,11347.7
2019-08-08,11382.45,11555.95,11336.54,11533.24
2019-08-09,11592.57,11689.77,11563.7,11615.86
2019-08-13,11663.57,11666.7,11402.05,11423.7
2019-08-14,11509.24,11578.73,11435.08,11528.86
2019-08-16,11544.14,11564.26,11416.52,11539.45
2019-08-19,11584.58,11646.68,11536.16,11547.41
2019-08-20,11559.27,11573.21,11479.24,11513.92
2019-08-21,11503.05,11532.64,11404.89,11415.46
2019-08-22,11423.71,11423.71,11209.12,11231.83
2019-08-23,11208.68,11353.15,11122.28,11318.42
2019-08-26,11522.84,11568.47,11244.95,11556.53
2019-08-27,11607.63,11643.69,11548.26,11609.73
2019-08-28,11615.53,11629.71,11485.66,11545.5
2019-08-29,11524.62,11524.62,11420.46,11446.76
2019-08-30,11494.68,11549.02,11374.39,11528.28
2019-09-03,11480.89,11481.84,11263.47,11292.29
2019-09-04,11296.43,11350.99,11237.25,11335.97
2019-09-05,11369,11413.58,11307.68,11337.95
2019-09-06,11372.24,11448.62,11357.73,11438.07
2019-09-09,11436.04,11523.6,11381.03,11494.19
2019-09-11,11524.13,11551.81,11507.48,11530.35
2019-09-12,11549.91,11584.12,11464.92,11481.27
2019-09-13,11503.38,11584.97,11446.16,11576.27
2019-09-16,11519.15,11557.68,11471.36,11503.27
2019-09-17,11513.35,11513.38,11292.2,11311.51
2019-09-18,11355.01,11381.51,11303.56,11338.6
2019-09-19,11352.84,11352.84,11161.82,11194.94
2019-09-20,11230.34,11903.1,11186.72,11800.71
